album,artist,sentiment
Hold Me Thrill Me Kiss Me,Gloria Estefan,0.6960548998449805
Mercury Falling,Sting,0.41387159431851595
"The Pick, the Sickle and the Shovel",Gravediggaz,0.38565070719218164
Conversation Peace,Stevie Wonder,0.6044682033164277
My Way,Usher,0.5670423971181844
Fumbling Towards Ecstasy,Sarah McLachlan,0.4514452865310457
Savoir aimer,Florent Pagny,0.25723268964546275
Archaeology,The Rutles,0.5762721522593873
Dilate,Ani DiFranco,0.5449347886523789
Lights...Camera...Revolution!,Suicidal Tendencies,0.3963577274704564
Sonic Origami,Uriah Heep,0.5563184648819599
Copper Blue,Sugar,0.48600887212773897
Essex,Alison Moyet,0.4978417573650914
Blue Planet,Donna Lewis,0.5554985514244317
Derelicts of Dialect,3rd Bass,0.4626639611984982
Late Night Grande Hotel,Nanci Griffith,0.456428761034938
Everything Changes,Take That,0.5813157808591864
Deflowered,Pansy Division,0.5083867082995633
The Restless Kind,Travis Tritt,0.5770721978460307
www.thug.com,Trick Daddy,0.32994704929594476
At Action Park,Shellac,0.47808404508612956
Metropolis,Sister Machine Gun,0.47276966598786513
"Hitler Bad, Vandals Good",The Vandals,0.6166421961769452
Your Little Secret,Melissa Etheridge,0.45137614678899063
Geek the Girl,Lisa Germano,0.49573474971833187
Midnite Lover,Shaggy,0.6239127565119817
Da Bomb,Kris Kross,0.3767923643000699
Cutterpillow,Eraserheads,0.41879404334529946
"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,0.45770304685342544
A.K.A. I-D-I-O-T,The Hives,0.532724511718066
Evita,Madonna,0.8955989894960773
Aglio e Olio,Beastie Boys,0.597693125914106
Pygmalion,Slowdive,0.938870031835388
Exit the Dragon,Urge Overkill,0.36008131207514354
On Avery Island,Neutral Milk Hotel,0.4550850837992597
Fantasma,Cornelius,0.5162448370369419
Severe Tire Damage,They Might Be Giants,0.46231566841270777
Silver Session for Jason Knuth,Sonic Youth,0.9999999999999991
Into the Great Wide Open,Tom Petty and the Heartbreakers,0.5380486260888386
Brand New Day,Sting,0.5470204089705848
Gold Afternoon Fix,The Church,0.45060004173743917
Charmed Life,Billy Idol,0.4680470440342792
II,Boyz II Men,0.5989016065750353
Manic Compression,Quicksand,0.5064917330573492
This Is Hardcore,Pulp,0.5002986561485697
Grassroots,311,0.4251778867966941
"Good Side, Bad Side",Crucial Conflict,0.4108369676687753
The Light User Syndrome,The Fall,0.2850518548065415
Flowers,Ace of Base,0.24265475199791964
Fireball Zone,Ric Ocasek,0.46846273058387333
Put it in Your Mouth,Akinyele,0.44209381433848527
Bossalinie,C-Murder,0.31701035266391725
A Small Deadly Space,Fight,0.6720275427384876
Happy Pills,Candlebox,0.5217328783481481
Occupational Hazard,Unsane,0.4577748342377188
The Final Experiment,Ayreon,0.42470890424010166
Unreal World,The Godfathers,0.4633355717913884
The Sweet Keeper,Tanita Tikaram,0.49683033429145096
Ah Via Musicom,Eric Johnson,0.5435548237446993
Slavestate,Godflesh,0.5218629217501332
Dile al sol,La Oreja de Van Gogh,0.13641802951735088
RVS III,Ricky Van Shelton,0.5993792544274718
Handful of Rain,Savatage,0.4025638165742551
Pandemonium,The Time,0.4716117287153793
The Legend of Chin,Switchfoot,0.49173647121393366
Ten Summoner's Tales,Sting,0.5851615476665328
The Golden Age,Cracker,0.49763691965526796
Funkdafied,Da Brat,0.392497573318313
My Iron Lung,Radiohead,0.46323540838897775
The Word as Law,Neurosis,0.3859400574941882
From the Bottom Up,Brownstone,0.5693623072787491
The Marshall Suite,The Fall,0.4398711644777793
Pure Pleasure,Shaggy,0.6536177047017869
The 18th Letter,Rakim,0.44339965742978416
National Steel,Colin James,0.42862485041882714
Happy Hour,King Missile,0.48570589176652673
Earthling,David Bowie,0.40668064902144924
Under the Running Board,The Dillinger Escape Plan,0.3692804426213564
The Gang's All Here,Dropkick Murphys,0.37283605903470257
Affliction,Econoline Crush,0.3294196539544342
Rid of Me,PJ Harvey,0.3777589950710356
Take Me Higher,Diana Ross,0.5323213766299961
Perversion,Gravity Kills,0.49953889110490557
Rusty,Slick Shoes,0.44181181580463524
The Bridge,Ace of Base,0.8020691001366377
Stones in the Road,Mary Chapin Carpenter,0.5280625569161058
"If Looks Could Kill, I'd Watch You Die",Death By Stereo,0.46919093827004044
Mi Tierra,Gloria Estefan,0.2211717638373748
Time After Time,Etta James,0.6163164192891478
I Can Hear the Heart Beating as One,Yo La Tengo,0.4578854005532476
Spilt Milk,Jellyfish,0.5501076984443553
Nothin' but the Taillights,Clint Black,0.5248417943272343
The Battle Rages On...,Deep Purple,0.4863493329787701
Higher Ground,Barbra Streisand,0.6004342071056754
Try Anything Once,Alan Parsons,0.4728094668262196
Do You Want More?!!!??!,The Roots,0.46544782522605693
Edge of the Century,Styx,0.5338993674853265
Still Feel Gone,Uncle Tupelo,0.41585107832731644
Effigy of the Forgotten,Suffocation,0.3417320391791868
Washed Up!,Catch 22,0.42216774848605676
Step Inside This House,Lyle Lovett,0.49003077681061474
Represent,Fat Joe,0.2642778438194836
Heaven or Las Vegas,Cocteau Twins,0.6152422506082482
Creep wit' Me,Ill Al Skratch,0.4119541683964013
Still in the Game,Keith Sweat,0.5468776898368776
THRAK,King Crimson,0.6214599122457113
I Am Not a Doctor,Moloko,0.48752746042424444
Thinkin' About You,Trisha Yearwood,0.5782703167971777
Beach House on the Moon,Jimmy Buffett,0.3266578218668883
Hidden Stash,Kottonmouth Kings,0.4081626537514655
El Corazón,Steve Earle,0.3904982425515173
Mirror Blue,Richard Thompson,0.4922699200858282
Ask the Ages,Sonny Sharrock,0.9999999999999991
Nihil,KMFDM,0.3967976171908963
Dust,Screaming Trees,0.44900086210224205
America's Least Wanted,Ugly Kid Joe,0.33215473495404924
Every Good Boy Deserves Fudge,Mudhoney,0.37682858041536543
Fuse,Joe Henry,0.5454844901175658
William Bloke,Billy Bragg,0.6168202716604032
Adrenalize,Def Leppard,0.6214756258234511
Irresistible Bliss,Soul Coughing,0.4972338322262878
The Sky Moves Sideways,Porcupine Tree,0.47459240111938483
Onka's Big Moka,Toploader,0.5847643619142993
Distant Horizons,Hawkwind,0.25749339757176626
Mad Mad World,Tom Cochrane,0.45698260515377165
White on Blonde,Texas,0.44504665287709844
Heavy as a Really Heavy Thing,Strapping Young Lad,0.42203142675917266
A New Kind of Army,Anti-Flag,0.4169468345774685
Sixteen Stone,Bush,0.4725489606697982
Tonight the Stars Revolt!,Powerman 5000,0.45741641480140816
Flood,They Might Be Giants,0.45343741336574295
Mane Attraction,White Lion,0.5145755150883646
Wildest Dreams,Tina Turner,0.5780315117670519
American Thighs,Veruca Salt,0.3037874902653518
Alabama Song,Allison Moorer,0.5431422451917235
The Distance to Here,Live,0.6518520343809522
Thicker Than Water,H2O,0.4334766357901575
Through the Fire,Peabo Bryson,0.5915481035901142
Flesh And Bone,Richard Marx,0.580211770678464
Hollywood Town Hall,The Jayhawks,0.4511411214068231
Cowgirl's Prayer,Emmylou Harris,0.48600245842253853
"Songs and Music from ""She's the One""",Tom Petty and the Heartbreakers,0.555789244660405
Feeling Strangely Fine,Semisonic,0.6097002104181994
Lie to Me,Jonny Lang,0.39449541284403644
Rumor and Sigh,Richard Thompson,0.6020722334605951
Up in It,The Afghan Whigs,0.4807859910060048
Voyager,Mike Oldfield,0.9999999999999991
Mostasteless,Twiztid,0.3916304662037501
Mamouna,Bryan Ferry,0.5618605566750747
Heartbreak Station,Cinderella,0.4396223906395419
The Force Behind the Power,Diana Ross,0.6032321620674221
"Reading, Writing, and Arithmetic",The Sundays,0.5192571388347917
Forever with You,Phyllis Hyman,0.5688935112120841
www.pitchshifter.com,Pitchshifter,0.6194384536856106
Tomorrow Hit Today,Mudhoney,0.6708347063006189
What a Crying Shame,The Mavericks,0.6217457261400351
No Depression,Uncle Tupelo,0.4321090065269131
5150: Home 4 tha Sick,Eazy-E,0.46969105062525884
Friendly People,Guttermouth,0.42104563362934655
D.I. Go Pop,Disco Inferno,0.45928542936919403
One in a Million,Aaliyah,0.6558346307757627
Snowed In,Hanson,0.5989658988960594
The Mollusk,Ween,0.49321782051192303
"G-Funk Classics, Vols. 1 & 2",Nate Dogg,0.47566812923813306
Inner Child,Shanice,0.6342876649501239
14 Songs,Paul Westerberg,0.4531082602221626
The Sky Is Too High,Graham Coxon,0.6476923437903276
"Le Roi Est Mort, Vive Le Roi!",Enigma,0.6091443956920617
Mingus Plays Piano,Charles Mingus,0.5444633813201817
Hard to Earn,Gang Starr,0.42597272140623954
Bone Machine,Tom Waits,0.4394403634425376
Winter Light,Linda Ronstadt,0.606592925576176
Middle of Nowhere,Hanson,0.4296426147138892
I Feel Alright,Steve Earle,0.4722554624828244
A Long Way Home,Dwight Yoakam,0.41768453734947564
Liberate Te Ex Inferis,Zao,0.4936352968968437
Why Do Birds Sing?,Violent Femmes,0.7943659393043735
Call the Doctor,Sleater-Kinney,0.4953484351464619
