album,artist,album_uri,artist_uri
Lock up the Wolves,Dio,spotify:album:15UiNu0KzbdGcLgwHfQFgb,spotify:artist:4CYeVo5iZbtYGBN4Isc3n6
AmeriKKKa's Most Wanted,Ice Cube,spotify:album:09TlsckA5lUqWWuIOSnGbw,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA
20 Años,Luis Miguel,spotify:album:3D9NENGfg4DFmYJrEaxRHd,spotify:artist:2nszmSgqreHSdJA3zWPyrW
Let the Rhythm Hit 'Em,Eric B. & Rakim,spotify:album:7H6Dsb9KmsaPy5o5Uee7lD,spotify:artist:6jHG1YQkqgojdEzerwvrVv
Bloodletting,Concrete Blonde,spotify:album:0lg6bgtAuwJDfPnGYrf5Do,spotify:artist:2ICSjfBpos9PxMhGhX25N2
I Want Too Much,A House,spotify:album:2qJubKZoS6FbLmt0q5m573,spotify:artist:53YkKjHFfjYq6dtcLiQ8NO
Pod,The Breeders,spotify:album:0xx56m5AMEIMZlSjdJwxf5,spotify:artist:1xgFexIwrf2QjbU0buCNnp
Joe Cocker Live,Joe Cocker,spotify:album:6CpOgaWKkuIXrV3gqJmKMz,spotify:artist:3pFCERyEiP5xeN2EsPXhjI
The Internationale,Billy Bragg,spotify:album:5udxTfyMaa3nC8LxJQsPNb,spotify:artist:5yXAFDZNUNyO92l5WTImkO
Manscape,Wire,spotify:album:17NaNJJQ3NKryOJ64nd3gb,spotify:artist:2i8ynmFv4qgRksyDlBgi6d
The Word as Law,Neurosis,spotify:album:6S7NXVK11HrTMiJdybvBVX,spotify:artist:1KHydwFySZY3YcWyo2q2dF
Gold Mother,James,spotify:album:7qQEoMXpeyJ2GJkkdDsVdr,spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh
Left Hand Path,Entombed,spotify:album:5EavicRNMYlA7Dwd9udrHM,spotify:artist:2pnezMcaiTHfGmgmGQjLsB
Sumerian Cry,Tiamat,spotify:album:12j4zMWKjBwG6dyJL02ixC,spotify:artist:5SwHKKNKYToC1YzWVNWAIN
A Catholic Education,Teenage Fanclub,spotify:album:4vRg6GaqGuuYCAvIzkX1y6,spotify:artist:2Sp19cOHSqAUlE64hekARW
Utd. State 90,808 State,spotify:album:7DWTuqhMmJIE9Py0e8Wa5C,spotify:artist:7hFdUW64G4iU1tz46ITRfN
Holy Water,Bad Company,spotify:album:30ts0TMRhxu4usurOw99cE,spotify:artist:5AEG63ajney2BoDXi0Vb84
Amarok,Mike Oldfield,spotify:album:2IamDQJZRFF8SKibgbRV6E,spotify:artist:562Od3CffWedyz2BbeYWVn
Sudden Stop,Colin James,spotify:album:3Ag8fyt6PUSF6LT6ey0WDN,spotify:artist:5OH6mZ9jAWB8UnC1447H1j
No Depression,Uncle Tupelo,spotify:album:7tZs3ba0xJUwYbZExiVUPJ,spotify:artist:2Plkkomsc4DKawkCioLKjc
Flesh & Blood,Poison,spotify:album:7alngtync76VqYWSKxcBhB,spotify:artist:1fBCIkoPOPCDLUxGuWNvyo
New Art Riot,Manic Street Preachers,spotify:album:48HtahWu7OhY06UDV7I34E,spotify:artist:2uH0RyPcX7fnCcT90HFDQX
Livonia,His Name Is Alive,spotify:album:3wDdiaigh2OYdo3Z6iCzk5,spotify:artist:4LMQqMZYbFJgvxBOzshZVL
Reputation,Dusty Springfield,spotify:album:3FUL7hI1fTm5LXwBpV4T81,spotify:artist:5zaXYwewAXedKNCff45U5l
After the Rain,Nelson,spotify:album:3bF75h2NG3y918xMulJ2UI,spotify:artist:5jJcbGPjjyEhAoU02ynHaA
Danzig II: Lucifuge,Danzig,spotify:album:3kPaVfOEEHBDOoAbOMWvRS,spotify:artist:34c4iQ5tkaZKu6Sv28BTde
Live It Up,"Crosby, Stills & Nash",spotify:album:1eCF24GjYAFhfenifr8U54,spotify:artist:2pdvghEHZJtgSXZ7cvNLou
Black Angels,Kronos Quartet,spotify:album:5mGBPZX9qZnsEsIW94Kpk6,spotify:artist:0M6xcJTswOl2qvExCJhiS3
Busted,Cheap Trick,spotify:album:0EALB7KHwFpWvvNYTqPEBJ,spotify:artist:1LB8qB5BPb3MHQrfkvifXU
Harmony Corruption,Napalm Death,spotify:album:6ysD41dt9gtXNVVIh54oAK,spotify:artist:3UqRgrDIQ208yNGiWKRMNt
Armchair Theatre,Jeff Lynne,spotify:album:3rxBm0hL8MSU9kJAYBWJFR,spotify:artist:3bTAaMx9nf237AkBnGw3vL
The Hard Way,Steve Earle,spotify:album:5XFvncXwJq8oKbjkR7tZ5f,spotify:artist:2UBTfUoLI07iRqGeUrwhZh
Lights...Camera...Revolution!,Suicidal Tendencies,spotify:album:6zkuzlR7xyQJsKWrnt4iGA,spotify:artist:3WPKDlucMsXH6FC1XaclZC
Lofty's Roach Souffle,"Harry Connick, Jr.",spotify:album:0iIzHfkehvmnQOvUDP1Vwc,spotify:artist:6u17YlWtW4oqFF5Hn9UU79
Spirits Dancing in the Flesh,Santana,spotify:album:5FcneTmG5v8iUFe5EUKkmM,spotify:artist:6GI52t8N5F02MxU0g5U69P
We Are in Love,"Harry Connick, Jr.",spotify:album:6Q2COpAGHfW1BeZrMIIY82,spotify:artist:6u17YlWtW4oqFF5Hn9UU79
Brick by Brick,Iggy Pop,spotify:album:2Il7QADGDfqLRsJkAx0JY8,spotify:artist:33EUXrFKGjpUSGacqEHhU4
Pandemonium,The Time,spotify:album:1N2SWhf7QtskRdb9bNoKxn,spotify:artist:1EgGVV9cmmlLEsFlunjmvv
Stray,Aztec Camera,spotify:album:55PHaET2mF5aFeUCVGlrNG,spotify:artist:7sbwBqdkynNUDgiWU3TQ5J
Tales from the Twilight World,Blind Guardian,spotify:album:3wH6S3fkVgfMG4WKuCFbqj,spotify:artist:7jxJ25p0pPjk0MStloN6o6
Bad of the Heart,George Lamond,spotify:album:6w7lStg7azIVp6JvC3CYUb,spotify:artist:0L1e8CdX4rdh54b8mIxMqB
Edutainment,Boogie Down Productions,spotify:album:0nkjQj41qCtgcNaw9AIxz7,spotify:artist:4toEjJSZu1rbfX2hfVdZFA
Apple,Mother Love Bone,spotify:album:29Z58CSd0WX6E03bRbhHAK,spotify:artist:3XR64HmFo4OvexUUNW7TP0
Lovegod,The Soup Dragons,spotify:album:6Q5U6UHrFKiz7Ovg97pMlQ,spotify:artist:5BEYGWk6aPdNXxBx9pwU8S
Slave to the Thrill,Hurricane,spotify:album:1EIbls8hlfhggOpOP4S2pS,spotify:artist:6G6iuvTHT1XHUEOw5sbQYm
Cowboys from Hell,Pantera,spotify:album:0YP1dIF5fDrJphkOfYeI2h,spotify:artist:14pVkFUHDL207LzLHtSA18
In the Heart of the Young,Winger,spotify:album:2P5MIQaEXsyDtiXXChyijs,spotify:artist:2qQeKHrQJHLLbvDAOSO874
Un-Led-Ed,Dread Zeppelin,spotify:album:0pIs0qva8nppRi4M2tW1F8,spotify:artist:1xoJoYxFg6q7IGEkAeK4gN
Blaze of Glory,Jon Bon Jovi,spotify:album:5QsPmoN7UK8tL5NRtSuC2Y,spotify:artist:6h2bWHWTJL38N8dqocVaif
Bellybutton,Jellyfish,spotify:album:5Dnr7POHxdq2tuXoUZgiKu,spotify:artist:10flBVEy5MiUXOJWTaFsyL
Head Down,Moev,spotify:album:5FJRLy1kCKHxikIyYpvPRp,spotify:artist:7GVz71n7UWldpGKDsEljhm
Pornograffitti,Extreme,spotify:album:5GBJzek87teE7CGqHsPuIk,spotify:artist:6w7j5wQ5AI5OQYlcM15s2L
World Clique,Deee-Lite,spotify:album:4sTAgYLZy5zwqR3kT1g0oh,spotify:artist:4eQJIXFEujzhTVVS1gIfu5
Bossanova,Pixies,spotify:album:0BK1LxNNcaNUtAqTBQAOR8,spotify:artist:6zvul52xwTWzilBZl6BUbT
Louder Than Love,TKA,spotify:album:7fLWVZf6cNnAPLrAYLAVLb,spotify:artist:4ihWkKDRxQFy33afJaI95y
Eaten Back To Life,Cannibal Corpse,spotify:album:7uB1DKYuNh0sGkvJ42K26f,spotify:artist:0yLwGBQiBqhXOvmTfH2A7n
Liberty,Duran Duran,spotify:album:6xt4fhJG5VevU7fVmqvlO7,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT
Peace of Mind,Breathe,spotify:album:18gmuBABa8RjXTSqewFPZA,spotify:artist:1MNeXu0284O7mQWgF1YRc0
Against the Law,Stryper,spotify:album:2j7vAVSvsC3BsWVagKt7P0,spotify:artist:6lE1ly8K8H7u8k2ej2plvv
Detonator,Ratt,spotify:album:1I8TqSMkoRvF4xZSvuFDiq,spotify:artist:3tufWJzpCiAGleBt5TkmTn
